machineID,layer_height [mm],print_speed [mm/s],nozzle_temperature [°C],bed_temperature [°C],filament_diameter [mm],failure_type
1,0.32,53.14,201.69,54.87,1.71,3
2,0.38,86.18,195.2,55.07,1.88,4
3,0.22,99.7,181.71,69.37,1.73,3
4,0.3,52.45,186.62,59.21,1.69,4
5,0.46,59.24,211.29,54.52,1.72,1
6,0.46,45.59,209.82,58.4,1.71,5
7,0.15,55.86,194.44,58.39,1.78,0
8,0.18,64.92,192.49,61.31,1.79,4
9,0.12,47.31,197.52,55.3,1.78,1
10,0.28,81.63,202.04,46.4,1.73,4
11,0.11,47.68,204.76,63.5,1.74,2
12,0.28,57.34,218.79,64.12,1.78,1
13,0.36,61.18,194.25,55.97,1.76,5
14,0.21,35.64,196.19,61.49,1.78,0
15,0.37,49.17,194.37,60.76,1.79,0
16,0.34,96.0,235.06,57.82,1.8,2
17,0.11,54.68,205.65,57.79,1.81,5
18,0.32,53.87,204.2,54.87,1.74,2
19,0.2,40.67,195.21,60.0,1.74,3
20,0.27,79.05,209.61,63.22,1.74,5
21,0.21,56.78,207.35,60.2,1.72,4
22,0.38,59.92,195.21,62.77,1.83,5
23,0.28,35.58,201.51,62.64,1.72,4
24,0.16,97.93,210.72,61.5,1.76,2
25,0.32,66.2,208.89,53.93,1.76,4
26,0.41,39.05,190.82,59.19,1.77,5
27,0.22,72.22,216.01,58.68,1.72,2
28,0.19,73.21,177.64,53.53,1.75,0
29,0.26,90.35,202.07,59.47,1.76,0
30,0.47,68.85,214.64,64.62,1.7,4
31,0.49,44.77,195.14,54.35,1.73,3
32,0.37,67.64,204.84,61.29,1.79,3
33,0.46,69.78,215.21,67.35,1.79,0
34,0.44,62.9,177.4,59.43,1.68,1
35,0.25,60.34,181.56,52.27,1.68,1
36,0.14,47.98,206.05,58.09,1.74,0
37,0.36,77.24,180.25,61.32,1.71,3
38,0.32,53.16,178.04,56.31,1.74,2
39,0.24,30.96,220.29,57.57,1.79,0
40,0.19,31.85,208.97,61.82,1.7,1
41,0.26,50.09,209.56,47.15,1.68,4
42,0.29,83.01,194.1,52.97,1.75,0
43,0.21,30.17,201.73,62.94,1.76,3
44,0.22,73.81,201.98,61.63,1.72,2
45,0.28,72.7,210.14,60.01,1.66,3
46,0.44,44.95,195.75,59.08,1.83,3
47,0.33,60.17,220.84,64.77,1.74,2
48,0.21,59.35,211.41,59.46,1.81,3
49,0.21,70.88,187.0,55.75,1.8,2
50,0.28,64.97,186.77,63.13,1.68,3
51,0.18,55.23,184.94,58.97,1.95,3
52,0.18,66.35,215.27,56.95,1.71,2
53,0.31,58.53,209.79,60.28,1.78,3
54,0.13,73.85,203.52,60.04,1.76,1
55,0.29,37.12,207.46,62.35,1.66,4
56,0.24,60.85,186.1,59.56,1.76,3
57,0.38,67.0,200.89,60.05,1.73,3
58,0.4,98.29,178.94,59.4,1.67,4
59,0.38,84.23,204.36,62.32,1.63,3
60,0.38,99.5,200.33,59.47,1.78,3
61,0.25,38.66,194.34,57.25,1.78,4
62,0.37,93.73,212.91,61.04,1.71,1
63,0.24,54.24,191.75,57.43,1.78,2
64,0.33,40.49,191.86,57.92,1.78,2
65,0.23,70.66,197.21,60.97,1.74,5
66,0.28,34.56,174.89,64.02,1.73,0
67,0.12,89.05,188.25,56.91,1.75,5
68,0.2,43.63,212.4,62.51,1.71,0
69,0.49,81.65,203.51,58.79,1.79,4
70,0.19,55.09,183.24,66.43,1.84,2
71,0.38,54.18,198.46,50.78,1.76,4
72,0.36,59.99,197.05,59.11,1.73,1
73,0.39,68.43,190.71,49.38,1.79,1
74,0.29,47.06,210.18,56.97,1.7,1
75,0.34,51.65,196.31,68.05,1.83,0
76,0.13,36.65,192.7,61.14,1.73,5
77,0.13,57.87,205.71,62.39,1.7,4
78,0.18,79.77,200.47,60.67,1.73,1
79,0.16,79.42,184.04,55.49,1.78,2
80,0.14,45.97,202.35,59.22,1.85,2
81,0.15,92.52,201.95,65.58,1.67,1
82,0.32,85.61,198.77,61.2,1.72,3
83,0.18,81.1,195.42,58.03,1.75,0
84,0.48,62.13,201.85,54.63,1.72,5
85,0.37,46.01,208.62,57.3,1.7,0
86,0.32,61.09,202.04,62.88,1.78,1
87,0.38,50.88,197.81,59.96,1.76,3
88,0.21,49.34,195.05,55.11,1.67,4
89,0.47,98.36,207.67,72.23,1.66,0
90,0.44,38.44,202.28,74.33,1.75,1
91,0.39,55.7,198.72,58.7,1.69,5
92,0.29,36.84,201.25,63.98,1.68,2
93,0.44,77.78,196.7,55.98,1.77,1
94,0.4,53.08,185.94,55.8,1.7,1
95,0.36,84.8,207.16,57.85,1.72,2
96,0.47,31.66,199.37,67.24,1.68,2
97,0.35,30.38,230.45,58.29,1.8,0
98,0.25,39.42,183.64,64.38,1.73,4
99,0.32,51.68,195.06,59.85,1.72,2
100,0.18,73.55,179.97,60.86,1.79,1
101,0.18,83.7,188.52,60.7,1.72,3
102,0.39,50.93,189.45,59.72,1.75,3
103,0.41,74.5,184.55,56.25,1.73,3
