machineID,spindle_speed [RPM],feed_rate [mm/min],tool_temperature [°C],vibration_level [m/s²],power_consumption [kW],tool_wear [min],failure_type
1,1376.41,119.13,196.43,1.79,3.88,0.0,1
2,1240.02,180.38,395.79,1.64,4.66,0.0,5
3,1297.87,205.11,600.32,1.89,4.9,0.76,5
4,1424.09,246.47,803.97,1.76,5.12,0.99,0
5,1386.76,127.06,996.75,1.54,5.3,0.0,5
6,1102.27,188.05,1194.14,1.93,5.88,0.0,1
7,1295.01,239.13,1397.69,1.28,4.76,0.0,4
8,1184.86,226.58,1606.75,1.32,5.48,0.0,2
9,1189.68,116.81,1800.73,1.16,5.52,0.0,4
10,1241.06,167.29,2008.2,1.31,5.16,0.0,4
11,1214.4,109.57,2201.66,1.83,5.56,0.0,5
12,1345.43,129.92,2410.24,1.46,4.42,0.0,5
13,1276.1,141.81,2601.45,1.56,4.86,0.0,1
14,1212.17,183.04,2803.0,1.4,5.43,0.0,2
15,1244.39,200.17,2995.15,1.62,4.73,0.17,3
16,1233.37,264.58,3191.7,1.35,5.2,0.0,4
17,1349.41,255.54,3386.62,1.13,5.42,0.0,0
18,1179.48,199.99,3588.82,1.39,4.35,0.85,0
19,1231.31,161.89,3797.31,1.45,5.4,0.63,4
20,1114.59,126.58,4005.91,1.45,4.97,0.96,2
21,944.7,276.67,4208.75,1.53,5.64,2.03,5
22,1265.36,191.26,4412.36,1.32,4.99,0.85,3
23,1286.44,223.69,4612.73,1.42,6.03,1.84,4
24,1125.78,239.1,4811.02,1.69,5.15,2.08,5
25,1426.98,248.99,5008.54,1.67,5.78,4.07,4
26,1054.56,264.68,5212.07,1.5,5.62,4.49,5
27,1204.58,198.11,5418.67,1.48,5.47,4.39,2
28,1181.28,186.65,5620.03,1.66,4.57,4.04,2
29,1353.28,250.58,5823.24,1.28,5.51,5.37,3
30,1346.94,172.27,6018.43,1.46,5.03,4.78,1
31,1215.49,110.92,6216.85,1.66,5.53,3.74,3
32,1237.82,263.19,6409.98,1.45,5.07,2.73,4
33,1111.22,230.64,6613.37,1.73,5.35,2.49,5
34,1001.92,191.82,6809.4,1.54,5.15,1.41,5
35,1165.21,296.06,7004.35,1.86,4.55,0.0,2
36,1215.63,235.24,7197.39,1.24,5.56,0.0,5
37,1323.03,126.78,7396.38,1.46,4.95,0.0,3
38,1320.24,170.15,7596.72,1.66,4.6,0.0,0
39,1161.27,207.0,7795.96,1.48,4.76,0.0,0
40,1169.77,258.48,7998.67,1.4,4.7,0.0,4
41,1095.14,270.47,8202.24,1.51,4.23,0.0,0
42,1058.0,218.26,8398.89,1.5,4.31,0.0,1
43,1029.37,115.46,8592.24,1.65,5.02,0.0,1
44,1395.08,174.99,8785.53,1.39,5.51,0.0,1
45,1149.03,167.61,8982.72,1.25,5.11,0.0,4
46,1156.19,276.04,9181.26,1.63,5.08,0.0,5
47,1074.72,130.71,9385.12,1.6,5.11,0.0,0
48,1277.75,152.71,9592.69,1.57,5.02,0.0,5
49,1038.61,109.46,9792.56,1.42,4.97,0.0,1
50,1178.73,193.18,9990.05,1.45,4.56,0.0,0
51,1110.45,132.29,10193.13,1.23,4.89,0.0,2
52,1238.69,295.3,10393.35,1.36,6.25,0.0,4
53,1148.92,186.29,10594.73,1.41,4.75,0.0,5
54,1081.94,281.18,10797.93,1.36,5.52,0.0,0
55,1197.18,140.52,10995.42,1.53,5.12,0.0,5
56,1242.83,214.32,11198.38,1.6,5.75,0.0,4
57,1206.65,248.22,11401.62,1.82,4.67,0.0,2
58,1230.25,258.96,11593.9,1.49,4.29,0.0,2
59,1136.57,233.11,11787.61,1.72,4.86,0.0,0
60,1163.73,299.8,11994.01,1.77,4.33,0.0,2
61,1132.75,243.26,12197.19,1.5,5.86,0.0,2
62,1164.04,222.35,12399.26,1.53,5.54,0.0,1
63,1118.69,274.96,12600.83,1.36,3.93,0.0,2
64,1027.37,243.64,12806.74,1.18,5.62,0.0,4
65,1217.74,126.06,13004.45,1.23,4.61,0.0,1
