conveyorID,belt_speed [m/s],load_weight [kg],motor_current [A],belt_tension [N],belt_alignment_offset [mm],pulley_rotation_speed [RPM],ambient_temperature [°C],failure_type
1,1.51,326.48,16.53,363.24,-0.05,90.6,20.96,3
2,1.55,346.25,16.92,373.12,-0.57,93.0,26.79,4
3,1.4,303.28,16.07,351.64,-0.62,84.0,22.51,2
4,1.57,108.82,12.18,254.41,-0.2,94.2,21.5,3
5,1.46,224.08,14.48,312.04,0.89,87.6,25.07,3
6,1.34,309.26,16.19,354.63,0.52,80.4,19.0,2
7,1.44,130.07,12.6,265.03,0.27,86.4,24.19,2
8,1.56,201.94,14.04,300.97,0.88,93.6,25.18,3
9,1.53,322.58,16.45,361.29,0.68,91.8,23.89,2
10,1.39,484.69,19.69,442.34,0.38,83.4,22.64,3
11,1.56,174.28,13.49,287.14,-0.32,93.6,23.76,1
12,1.49,192.76,13.86,296.38,-0.02,89.4,22.63,3
13,1.54,342.81,16.86,371.4,0.25,92.4,25.54,5
14,1.53,393.44,17.87,396.72,-0.22,91.8,23.05,5
15,1.38,283.57,15.67,341.78,-0.35,82.8,22.71,4
16,1.54,111.29,12.23,255.64,0.47,92.4,29.02,0
17,1.44,428.22,18.56,414.11,0.72,86.4,21.78,0
18,1.65,311.86,16.24,355.93,-0.87,99.0,26.72,4
19,1.57,330.43,16.61,365.22,0.11,94.2,21.87,2
20,1.5,393.7,17.87,396.85,-0.67,90.0,24.29,5
21,1.4,236.02,14.72,318.01,0.48,84.0,22.01,5
22,1.51,114.18,12.28,257.09,0.4,90.6,24.52,0
23,1.52,497.6,19.95,448.8,0.26,91.2,26.28,1
24,1.38,223.2,14.46,311.6,0.56,82.8,25.28,5
25,1.72,475.16,19.5,437.58,0.97,103.2,26.16,3
26,1.54,492.66,19.85,446.33,-0.04,92.4,22.85,3
27,1.67,103.82,12.08,251.91,0.17,100.2,28.76,5
28,1.39,373.12,17.46,386.56,0.19,83.4,24.36,2
29,1.66,395.17,17.9,397.58,-0.51,99.6,27.07,1
30,1.36,281.74,15.63,340.87,0.07,81.6,24.89,1
31,1.43,279.84,15.6,339.92,-0.36,85.8,25.28,5
32,1.55,354.7,17.09,377.35,0.11,93.0,26.63,5
33,1.5,451.02,19.02,425.51,0.62,90.0,23.89,1
34,1.26,314.43,16.29,357.22,-0.06,75.6,24.08,2
35,1.39,362.33,17.25,381.16,0.08,83.4,24.49,1
36,1.58,291.22,15.82,345.61,0.46,94.8,24.6,4
37,1.71,301.81,16.04,350.9,0.57,102.6,24.96,5
38,1.59,290.93,15.82,345.46,0.71,95.4,22.95,0
39,1.47,235.38,14.71,317.69,-0.43,88.2,23.38,2
40,1.58,255.91,15.12,327.96,0.23,94.8,28.12,3
41,1.39,185.04,13.7,292.52,0.26,83.4,25.78,3
42,1.55,347.43,16.95,373.72,-1.03,93.0,23.2,5
