machineID,injection_pressure [bar],melt_temperature [°C],clamping_force [ton],cycle_time [seconds],screw_speed [RPM],cooling_time [seconds],hydraulic_pressure [psi],failure_type
1,116.24,214.6,57.44,32.8,64.8,19.1,2787.94,4
2,93.88,181.31,45.33,26.25,87.43,18.65,2947.09,5
3,94.72,217.33,53.57,26.53,89.1,20.3,2907.43,2
4,89.27,190.7,43.74,26.36,126.89,17.27,2813.76,2
5,108.65,184.98,44.43,32.02,78.68,15.57,2768.32,1
6,76.98,193.63,54.23,26.93,120.32,18.03,3493.85,0
7,117.45,210.62,57.05,29.27,77.72,16.56,3118.59,4
8,92.39,183.62,50.1,33.12,86.64,21.23,3146.6,3
9,103.19,192.4,50.98,36.14,120.49,22.13,2732.38,5
10,97.51,215.64,39.43,27.43,72.69,21.44,2803.6,1
11,114.62,215.77,50.33,26.29,65.02,21.59,2968.38,3
12,79.4,190.83,45.78,27.88,113.14,21.25,2950.14,3
13,96.78,193.42,56.29,31.51,60.01,19.76,3227.91,3
14,96.16,183.11,45.69,29.11,85.47,17.78,2948.05,4
15,111.34,186.79,51.49,28.61,79.08,19.94,3125.22,3
16,89.0,191.2,39.09,33.25,88.07,19.63,2872.86,3
17,98.28,192.58,52.55,32.6,85.85,17.64,2860.25,0
18,91.22,211.59,50.25,29.32,86.43,19.2,2457.68,3
19,100.42,219.31,56.89,32.29,82.23,19.27,3143.87,3
20,105.83,195.79,46.97,24.5,112.37,15.8,3421.45,1
21,88.99,211.51,51.75,28.97,53.59,19.01,3144.8,2
22,111.45,188.17,47.61,27.2,125.16,21.63,3116.85,5
23,109.02,213.93,44.29,27.5,74.65,20.8,2912.79,2
24,105.02,208.21,44.47,25.88,125.02,20.06,2687.26,3
25,109.01,216.76,49.2,32.69,82.91,18.32,3148.82,3
26,93.16,186.76,49.31,31.1,81.38,16.86,3408.69,4
27,98.77,217.19,56.57,26.93,97.05,23.75,3105.09,3
28,90.64,186.03,49.65,29.3,56.24,20.8,2876.28,2
29,97.32,185.42,59.41,25.99,80.57,21.05,2747.39,0
30,105.3,219.82,52.41,30.75,106.7,22.87,2677.0,4
31,93.08,213.71,54.49,31.74,59.17,22.14,3200.11,0
32,96.03,207.21,55.28,21.89,142.27,19.86,2796.75,0
33,93.13,213.74,44.86,32.19,110.62,20.89,3116.99,0
34,91.55,181.67,52.38,26.52,77.48,20.49,3262.78,1
35,93.29,196.16,58.76,32.9,75.42,20.08,3209.57,4
36,99.87,203.26,41.88,30.07,68.34,23.5,3073.15,0
37,88.83,206.8,58.0,33.53,56.41,19.05,3023.97,0
38,102.34,204.88,47.75,29.69,87.14,20.77,3051.57,3
39,116.6,214.86,46.4,28.68,90.47,21.8,2611.08,0
40,107.42,202.1,43.42,29.39,78.26,22.1,3138.68,5
41,98.08,213.38,49.23,31.71,80.35,16.27,3425.41,2
42,91.12,195.37,43.24,29.8,108.0,23.41,3270.28,5
43,92.53,215.62,57.95,29.25,111.22,18.62,3056.11,3
44,116.92,186.85,58.35,28.54,135.89,18.63,3414.84,4
45,100.51,192.36,47.96,30.67,84.28,20.85,2981.86,0
46,93.63,185.96,50.48,33.61,51.44,15.49,2614.97,3
47,101.91,208.48,47.7,34.64,133.91,18.24,2783.46,5
48,121.0,217.1,40.05,31.88,128.92,21.52,2983.05,0
49,101.2,190.59,57.47,28.92,136.98,21.01,3143.33,2
50,106.17,200.05,50.54,28.03,91.76,20.27,2742.08,5
51,103.0,194.41,50.45,29.86,129.01,20.7,2769.1,4
52,96.48,189.18,55.07,32.9,67.52,19.64,2808.8,3
53,88.57,209.16,53.43,29.7,138.17,18.07,2899.9,1
54,96.51,189.52,49.87,28.73,133.71,18.08,3072.56,5
55,97.91,202.47,57.01,29.06,113.04,22.82,3119.05,3
56,105.87,187.32,47.09,26.84,101.86,17.72,2707.73,5
57,108.39,193.26,57.24,26.3,97.04,15.66,2951.28,3
58,109.31,188.01,48.87,31.23,127.01,15.24,2861.93,2
59,102.86,193.6,49.95,27.64,59.69,21.67,3010.54,2
60,108.85,191.6,43.99,31.44,99.55,21.34,3263.66,2
61,92.46,214.4,41.18,32.14,60.02,15.51,3175.8,2
62,112.53,184.96,42.16,29.84,110.34,17.47,3135.54,4
63,105.13,209.74,47.13,31.94,148.57,19.25,3175.8,3
64,97.02,195.97,43.26,32.09,85.41,17.09,3064.31,1
65,104.89,219.34,58.91,30.98,107.35,19.3,2921.32,3
66,99.24,218.07,50.52,24.78,76.64,18.79,2939.25,5
67,111.32,189.81,51.62,32.81,59.85,20.34,3197.92,4
68,115.2,201.82,42.39,29.93,59.24,19.11,3328.07,2
69,121.86,197.23,44.36,35.03,72.46,20.87,2926.05,0
70,86.04,185.31,38.42,33.38,127.97,18.14,3120.71,1
71,85.56,216.11,43.76,28.46,123.58,21.14,2862.35,5
72,94.96,189.95,56.09,28.98,51.35,21.59,2796.77,0
73,101.6,213.4,47.12,30.57,131.54,17.14,3069.06,4
74,108.76,182.84,47.8,32.14,113.02,23.85,3023.74,1
75,103.16,194.12,41.04,33.23,112.69,19.53,2942.22,1
76,79.78,214.92,51.36,28.71,90.92,20.58,3008.79,4
77,96.94,194.05,56.55,26.86,89.28,22.58,3064.15,3
78,108.28,219.56,53.85,25.86,125.67,19.17,3040.41,3
79,102.3,192.63,54.85,31.23,93.91,20.06,2862.08,3
80,107.62,192.27,55.72,28.84,92.33,21.18,2657.01,2
81,97.78,215.03,46.14,31.93,61.52,19.6,3033.27,1
82,97.99,203.18,46.36,28.61,112.98,23.81,3136.81,0
83,101.87,191.84,53.18,31.29,133.77,21.76,3115.1,2
84,104.1,187.44,38.01,29.21,76.94,19.59,2796.67,2
85,101.98,212.9,47.07,32.01,139.99,22.69,3036.77,5
86,101.19,214.27,61.65,29.69,138.65,17.11,3015.55,2
87,93.29,209.14,50.09,27.18,113.11,16.61,3319.8,4
88,103.78,192.84,53.59,35.43,97.86,20.77,3108.28,1
89,101.22,205.27,53.76,31.05,76.5,18.18,3279.47,5
90,111.29,202.92,42.67,25.42,135.91,17.7,3170.11,2
91,111.99,199.24,48.76,28.81,147.88,22.43,2876.42,3
92,101.85,181.06,48.56,29.38,77.62,19.63,3273.81,1
93,96.25,200.84,51.01,27.77,120.49,18.61,3050.93,4
94,93.61,189.2,48.89,30.48,123.53,22.6,3196.23,5
95,104.23,198.63,46.27,33.23,90.15,22.29,3035.04,4
96,100.77,181.77,51.94,32.6,83.96,23.62,3269.67,4
97,96.56,197.35,48.05,30.47,137.82,20.21,3277.69,3
98,100.44,218.59,39.5,30.45,59.74,19.59,3256.23,0
99,93.8,206.61,46.62,34.03,74.42,22.08,3453.46,1
100,106.98,212.17,42.27,27.9,138.82,19.52,3173.19,0
101,95.53,191.62,49.44,32.45,103.53,17.1,2986.56,2
102,112.25,186.64,52.72,24.79,128.6,21.19,2868.4,1
103,104.03,192.54,50.81,30.24,132.06,20.73,2829.18,3
104,105.94,182.89,54.97,23.16,57.78,19.55,3145.94,1
105,89.05,219.15,61.16,30.6,57.84,20.03,2914.7,2
106,101.69,188.07,47.05,33.64,146.66,17.67,2913.26,0
107,107.41,201.09,45.92,26.24,124.63,19.57,3211.67,5
108,90.46,204.26,43.85,35.35,145.79,20.57,3020.41,4
109,97.34,192.44,45.78,28.1,112.84,17.48,3309.18,3
110,100.33,184.34,48.27,33.99,55.29,16.84,2640.71,4
111,86.27,196.79,54.48,30.38,124.67,18.93,2769.85,2
112,103.15,216.98,50.72,28.82,140.14,18.68,2890.65,2
113,108.46,204.06,46.33,31.26,107.39,18.98,3068.49,0
114,91.4,196.79,51.28,28.84,134.09,21.22,3011.51,1
115,103.51,186.3,44.77,30.28,95.44,19.27,3049.84,5
116,86.88,211.34,43.14,28.82,71.06,18.13,3089.2,2
117,99.61,183.05,50.54,25.91,88.39,20.2,3341.92,1
118,83.84,219.4,37.76,33.44,95.39,17.68,2823.06,4
119,111.21,189.28,52.9,28.71,134.85,23.1,2732.29,0
120,104.09,185.66,44.4,32.14,61.34,16.58,3318.62,0
121,99.75,192.39,52.25,24.23,74.74,19.18,2870.92,5
122,92.25,217.66,44.37,28.77,56.78,20.07,2953.19,1
123,112.74,212.84,45.38,31.0,67.06,21.42,2734.09,2
124,119.67,207.09,47.87,32.86,62.3,20.76,3261.17,2
125,81.42,215.16,43.95,26.62,104.39,19.92,3110.24,4
126,112.36,213.65,50.76,27.75,123.88,24.04,3272.4,4
127,116.28,204.84,54.22,29.26,61.82,16.22,2824.83,3
128,103.38,195.21,43.73,28.65,135.58,22.67,3068.87,1
129,88.01,206.33,54.53,28.49,122.12,19.77,2967.71,4
130,108.63,210.4,48.82,27.33,115.82,18.39,3117.87,1
131,98.19,204.75,44.68,30.82,95.89,19.82,2843.88,5
132,93.96,180.45,54.63,24.56,148.69,21.66,2717.11,4
133,87.7,181.39,49.57,26.43,63.36,18.21,2800.01,4
134,105.51,184.58,50.65,26.51,145.85,19.58,3162.26,0
135,107.93,209.98,44.9,25.22,148.7,16.84,3021.18,2
136,93.76,209.23,53.27,31.04,91.78,17.25,3380.73,5
137,105.21,214.28,48.15,24.48,103.83,21.02,2676.21,4
138,88.56,217.73,52.03,34.5,142.46,20.74,2827.41,3
139,108.02,195.27,55.49,31.86,113.23,21.32,2781.92,3
140,100.47,204.68,45.55,25.26,79.55,21.39,3126.9,3
141,98.13,193.11,47.23,28.85,68.25,18.0,3047.04,3
142,98.98,196.0,48.53,32.61,113.25,19.56,3056.55,2
143,108.69,198.32,55.14,27.88,122.53,21.12,3136.59,1
144,107.5,210.68,51.59,33.29,113.09,19.76,2803.66,3
145,105.29,203.84,47.37,25.49,130.4,20.99,3202.02,3
146,101.38,215.06,56.42,27.96,94.1,18.41,2987.13,5
