machineID,spindle_speed [RPM],feed_rate [mm/rev],depth_of_cut [mm],tool_wear [mm],vibration_level [m/s²],cutting_force [N],failure_type
1,758.32,0.21,1.62,0.12,1.32,614.24,2
2,794.37,0.17,1.36,0.23,1.1,540.17,0
3,586.38,0.15,1.08,0.87,1.31,316.65,0
4,964.03,0.18,2.12,0.37,1.2,1021.87,1
5,620.66,0.32,1.7,1.15,1.27,527.56,0
6,715.83,0.23,1.78,2.65,1.17,637.09,1
7,850.29,0.47,1.94,4.34,1.38,824.78,0
8,675.47,0.19,1.77,3.68,1.32,597.79,1
9,694.2,0.34,2.24,2.39,1.25,777.5,2
10,709.1,0.14,2.21,1.81,1.19,783.56,0
11,855.15,0.11,1.56,0.86,1.17,667.02,3
12,1029.22,0.22,1.44,1.51,1.02,741.04,3
13,804.15,0.25,1.66,3.04,1.39,667.44,2
14,688.21,0.24,2.55,3.39,1.28,877.47,1
15,853.91,0.13,2.66,1.61,1.22,1135.7,1
16,740.38,0.38,2.16,0.31,1.33,799.61,2
17,798.09,0.46,2.05,0.63,1.22,818.04,1
18,917.5,0.39,2.28,0.93,1.12,1045.95,4
19,725.21,0.31,1.85,0.43,1.23,670.82,0
20,800.9,0.17,2.05,0.0,1.24,820.92,2
21,712.19,0.23,2.48,0.0,1.25,883.12,0
22,784.36,0.49,2.53,0.0,1.19,992.22,5
23,825.66,0.14,2.27,0.0,1.19,937.12,1
24,701.12,0.4,2.04,0.0,1.3,715.14,5
25,766.12,0.21,1.98,0.0,1.12,758.46,1
26,776.38,0.36,2.78,0.0,1.22,1079.17,5
27,736.23,0.33,1.46,0.18,1.19,537.45,4
28,681.24,0.29,1.67,0.3,1.12,568.84,4
29,657.88,0.31,1.55,0.0,1.15,509.86,5
30,784.65,0.15,2.45,0.74,1.18,961.2,0
31,773.09,0.27,0.89,0.0,1.18,344.03,5
32,1023.14,0.42,1.43,0.27,1.12,731.55,3
33,556.52,0.11,2.73,0.0,1.09,759.65,3
34,811.27,0.48,2.88,0.0,1.03,1168.23,0
35,837.04,0.46,1.91,0.0,1.07,799.37,4
36,935.96,0.19,1.08,0.0,1.31,505.42,5
37,850.19,0.46,2.3,0.0,1.05,977.72,0
38,715.58,0.4,1.43,0.0,1.18,511.64,5
39,800.0,0.28,1.75,0.0,1.28,700.0,4
40,854.24,0.33,1.93,0.0,1.26,824.34,0
41,768.65,0.48,1.39,0.0,1.15,534.21,4
42,877.1,0.44,2.05,0.0,1.19,899.03,5
43,613.19,0.43,2.25,0.0,1.07,689.84,0
44,973.12,0.15,2.23,0.0,1.32,1085.03,0
45,946.77,0.29,1.97,0.0,1.28,932.57,3
46,766.43,0.13,1.43,0.0,1.24,548.0,5
47,861.13,0.32,1.9,0.0,1.21,818.07,4
48,804.8,0.43,2.38,0.0,1.14,957.71,5
49,717.09,0.3,2.3,0.0,1.19,824.65,3
50,808.77,0.21,1.85,0.0,1.24,748.11,2
51,900.04,0.32,1.67,0.0,1.24,751.53,0
